time,Item1,Item2
1,0.37882996646326794,75
2,0.27198986338553155,0
3,0.035189191047928725,9
4,0.01382314459576428,39
5,0.10072502798330951,39
6,0.49869084721967116,21
7,0.018094175168793636,3
8,0.9369626743214813,29
9,0.8601892164602555,23
10,0.27318489206874264,86
11,0.871280895701124,49
12,0.7098636641238567,0
13,0.3647485144265027,65
14,0.6265670377179458,90
15,0.12018502958059285,60
16,0.17235430368546445,37
17,0.9984875990365552,7
18,0.013905417587286029,68
19,0.5204633689153538,85
20,0.3584296624252229,53
21,0.12004550617280685,76
22,0.10969035845996511,93
23,0.11293348405395653,21
24,0.17143731987583288,21
25,0.5401584803288237,1
26,0.5786074184777787,53
27,0.69464113216373,122
28,0.776886233482604,66
29,0.527641488569074,11
30,0.8319240959500622,9
31,0.6305508484181629,40
32,0.7730167373777002,71
33,0.3563261219173933,30
34,0.13538728488451035,100
35,0.5973555074170586,120
36,0.419299807981515,5
37,0.11744816695528726,65
38,0.46354049815219023,70
39,0.05248516132510872,17
40,0.3136272182149963,78
41,0.4488603039628405,111
42,0.36680521340510974,79
43,0.7238760544658089,30
44,0.4365212343231446,7
45,0.901434882127652,110
46,0.1271046746434984,79
47,0.9394215877216227,78
48,0.2635175460449387,21
49,0.2394162681480747,6
50,0.768631113387194,85
51,0.2560503606377379,116
52,0.8945810034516397,115
53,0.22563222612221723,111
54,0.7788813275727288,44
55,0.049740275386424115,38
56,0.6529023012098852,110
57,0.6735763514637547,109
58,0.5553251805732816,114
59,0.17268848974034823,103
60,0.28723205349567504,106
61,0.4184507529733861,104
62,0.5160251110328036,81
63,0.14092674712728526,10
64,0.8967143947542563,10
65,0.5131364375553025,25
66,0.9956353107514203,19
67,0.0013268368650332096,72
68,0.23716384445379335,24
69,0.8039513060922737,26
70,0.2231835683304555,24
71,0.41816778540529287,90
72,0.8239231562416928,32
73,0.08530754248077344,98
74,0.20332488240835378,79
75,0.6808197384800129,104
76,0.04968288797415987,38
77,0.19737454344447636,89
78,0.9494471963464948,65
79,0.4891901751057016,35
80,0.7290451333170146,31
81,0.5938742353885009,12
82,0.38210049262307766,129
83,0.6551266549304917,87
84,0.1225338552050208,105
85,0.8753445229918446,33
86,0.684355310083427,67
87,0.9852388837591719,9
88,0.7302306408096001,64
89,0.6894045271066719,36
90,0.3928463696829,123
91,0.8188735799095773,95
92,0.15294636756409918,113
93,0.8158304886587607,84
94,0.339779365676918,131
95,0.07549827863911929,41
96,0.33713894306198566,22
97,0.5052614472774802,128
98,0.9696012512162757,38
99,0.7675662862613764,44
100,0.9596343464477807,118
101,0.7447962351785387,110
102,0.5021324809363237,104
103,0.3038990764743379,6
104,0.36063171160673313,23
105,0.04137732124993787,2
106,0.45442513860696665,124
107,0.47041590085952445,85
108,0.07002180164535365,79
109,0.2313305584549058,123
110,0.37171096603625564,65
111,0.39720532188057156,118
112,0.4393432354032304,112
113,0.49531636631883424,84
114,0.7481920318335996,131
115,0.8883220535636621,114
116,0.26435877756000237,128
117,0.4203812542321492,76
118,0.6094448943835095,55
119,0.29789937199703054,117
120,0.1542767299303427,121
121,0.30516750671789483,76
122,0.00965094599495464,90
123,0.03634233908983253,70
124,0.39584521119144933,50
125,0.9585231744597335,79
126,0.9502963330011343,19
127,0.8188818442441154,55
128,0.22398116575424876,77
129,0.8106019195231964,100
130,0.12446495012854375,0
